slot,usdt_usd,binance_open,binance_close,brti_proxy,offset_hat,offset_real,strike_naive,strike_offsetaware,kalshi_result,poly_up_wins,naive_outcome,offsetaware_outcome
2026-05-26 09:00,0.99901,77132.51,77231.56,77123.96,76.36,107.6,77099.99,77199.99,no,True,split,both_win
2026-05-26 10:00,0.9989,77231.56,76908.01,76834.79,84.95,73.22,77199.99,77299.99,no,False,split,split
2026-05-26 11:00,0.99853,76908.01,76518.1,76422.5,113.05,95.6,76899.99,76999.99,no,False,split,split
2026-05-26 12:00,0.99875,76518.1,76558.0,76439.26,95.65,118.74,76499.99,76599.99,no,True,both_lose,both_win
2026-05-26 13:00,0.9986,76558.0,75935.08,75846.35,107.18,88.73,76599.99,76599.99,no,False,split,split
2026-05-26 14:00,0.99824,75935.09,75840.55,75709.85,133.65,130.7,75899.99,75999.99,no,False,split,split
2026-05-26 15:00,0.99839,75840.55,76052.0,75916.29,122.1,135.71,75799.99,75899.99,yes,True,split,split
2026-05-26 16:00,0.9984,76052.0,76106.86,76006.78,121.68,100.08,75999.99,76249.99,no,True,split,both_win
2026-05-26 17:00,0.99855,76106.86,75890.0,75790.57,110.35,99.43,76099.99,76199.99,no,False,split,split
2026-05-26 18:00,0.99838,75890.0,75749.02,75633.62,122.94,115.4,75899.99,75899.99,no,False,split,split
2026-05-26 19:00,0.99865,75749.02,75930.01,75825.5,102.26,104.51,75699.99,75799.99,yes,True,split,split
2026-05-26 20:00,0.99866,75930.01,76085.01,75977.46,101.75,107.55,75899.99,75999.99,no,True,split,both_win
2026-05-26 21:00,0.99864,76085.0,75877.44,75765.93,103.48,111.51,76099.99,76099.99,no,False,split,split
2026-05-26 22:00,0.99853,75877.44,75879.0,75712.07,111.54,166.93,75899.99,75899.99,no,True,both_win,both_win
2026-05-26 23:00,0.99864,75879.01,75683.0,75549.4,103.2,133.6,75899.99,75899.99,no,False,split,split
2026-05-27 00:00,0.99854,75683.0,75579.01,75476.72,110.5,102.29,75699.99,75699.99,no,False,split,split
2026-05-27 01:00,0.99858,75579.01,75697.99,75615.66,107.32,82.33,75599.99,75599.99,yes,True,split,split
2026-05-27 02:00,0.99848,75697.99,75838.65,75726.3,115.06,112.35,75699.99,75699.99,yes,True,split,split
2026-05-27 03:00,0.9984,75838.65,75977.17,75863.11,121.34,114.06,75799.99,75899.99,no,True,split,both_win
2026-05-27 04:00,0.99848,75977.16,75873.24,75765.09,115.49,108.15,75999.99,75999.99,no,False,split,split
2026-05-27 05:00,0.99842,75873.25,75912.6,75805.3,119.88,107.3,75899.99,75899.99,no,True,both_win,both_win
2026-05-27 06:00,0.99842,75912.61,75909.82,75816.74,119.94,93.08,75899.99,75999.99,no,False,split,split
2026-05-27 07:00,0.99836,75909.82,75769.18,75642.91,124.49,126.27,75899.99,75999.99,no,False,split,split
2026-05-27 08:00,0.99838,75769.18,75688.0,75581.89,122.75,106.11,75799.99,75799.99,no,False,split,split
2026-05-27 09:00,0.99811,75688.01,75073.4,74922.44,143.05,150.96,75699.99,75699.99,no,False,split,split
2026-05-27 10:00,0.99818,75073.4,75031.92,74932.34,136.63,99.58,75099.99,75099.99,no,False,split,split
2026-05-27 11:00,0.9984,75031.92,75326.01,75206.23,120.05,119.78,74999.99,75099.99,yes,True,split,split
2026-05-27 12:00,0.99852,75326.02,75304.01,75179.09,111.48,124.92,75299.99,75399.99,no,False,split,split
2026-05-27 13:00,0.99832,75304.01,74860.42,74737.07,126.51,123.35,75299.99,75399.99,no,False,split,split
2026-05-27 14:00,0.99806,74860.42,75026.67,74876.47,145.23,150.2,74899.99,74899.99,no,True,both_win,both_win
2026-05-27 15:00,0.99829,75026.67,75066.08,74925.39,128.3,140.69,74999.99,75099.99,no,True,both_lose,both_win
2026-05-27 16:00,0.99841,75066.09,75274.58,75155.74,119.36,118.84,74999.99,75249.99,no,True,split,both_win
2026-05-27 17:00,0.9984,75274.58,74473.01,74355.95,120.44,117.06,75299.99,75299.99,no,False,split,split
2026-05-27 18:00,0.9986,74473.01,74418.13,74317.63,104.26,100.5,74499.99,74499.99,no,False,split,split
2026-05-27 19:00,0.99854,74418.12,74449.3,74336.97,108.65,112.33,74399.99,74499.99,no,True,both_lose,both_win
2026-05-27 20:00,0.99848,74449.31,74570.66,74441.92,113.16,128.74,74399.99,74499.99,no,True,split,both_win
2026-05-27 21:00,0.99849,74570.67,74344.08,74219.2,112.6,124.88,74599.99,74599.99,no,False,split,split
2026-05-27 22:00,0.99857,74344.07,74287.42,74154.13,106.31,133.29,74299.99,74399.99,no,False,split,split
2026-05-27 23:00,0.99857,74287.43,73258.01,73167.23,106.23,90.78,74299.99,74299.99,no,False,split,split
2026-05-28 00:00,0.99839,73258.0,73181.95,73047.92,117.95,134.03,73299.99,73299.99,no,False,split,split
2026-05-28 05:00,0.99837,73325.88,73541.24,73425.69,119.52,115.55,73299.99,73399.99,yes,True,split,split
2026-05-28 06:00,0.99848,73541.25,73400.01,73297.46,111.78,102.55,73499.99,73599.99,no,False,split,split
2026-05-28 07:00,0.9986,73400.01,73505.66,73394.09,102.76,111.57,73399.99,73499.99,no,True,both_lose,both_win
2026-05-28 08:00,0.99882,73505.65,73518.01,73407.54,86.74,110.47,73499.99,73599.99,no,True,both_lose,both_win
2026-05-28 09:00,0.99845,73518.01,73022.02,72895.64,113.95,126.38,73499.99,73599.99,no,False,split,split
